Tamb,I,Tcoolant_in,mass_flowrate_optimal
46.6,937,24.371189832115302,0.0001
46.3,805,22.827685184792248,0.0001
45.7,632,25.268622222996598,0.0001
44.6,430,25.166235182296948,0.006161224489795919
41.900000000000006,221,25.1276396910104,0.006161224489795919
32.300000000000004,117,21.813890430835393,0.005151020408163266
35.5,317,24.425928517359672,0.004746938775510205
38.900000000000006,527,23.727635361591148,0.0001
41.6,719,25.781857692956706,0.0001
43.400000000000006,877,22.970077422337802,0.0001
44.7,987,25.186829574575583,0.0001
45.6,1037,20.680238532898287,0.0001
46.1,1025,23.411033675243697,0.0001
46.3,950,27.250179438039037,0.0001
46.1,820,24.71915603571382,0.0001
45.400000000000006,646,25.915913018680232,0.0001
44.2,440,21.71875445485253,0.0065653061224489806
41.400000000000006,226,28.25613363096146,0.005353061224489797
30.700000000000003,122,25.528028948089077,0.0035346938775510208
34.5,339,25.219267482879907,0.004140816326530613
38.0,561,26.826360287267363,0.003736734693877551
40.1,760,26.317454921497276,0.0001
41.5,923,20.990180107446005,0.0001
42.7,1031,25.76901863096678,0.0001
43.5,1081,27.510091786258574,0.0001
43.900000000000006,1072,22.4212141381091,0.0001
43.900000000000006,994,26.881795595130136,0.0001
43.400000000000006,859,25.477964497542324,0.0001
42.400000000000006,682,24.128223751009834,0.0001
40.900000000000006,468,25.598447476977576,0.0001
37.6,244,28.451057625944134,0.004342857142857144
26.0,129,26.999598742301565,0.0001
29.6,343,26.63345783473687,0.0001
33.4,565,29.600939708629014,0.0001
36.6,766,20.835647582265434,0.0001
38.8,929,29.477298204934122,0.0001
40.3,1040,27.150764135835704,0.0015142857142857145
41.3,1089,23.41788091538621,0.0001
42.0,1081,22.5996151474521,0.0001
42.3,1002,22.027049801359638,0.0001
42.1,865,27.76705460946511,0.0001
41.5,681,20.8541688287029,0.0001
40.3,466,24.81579559963521,0.0001
37.0,239,27.96678088209203,0.004342857142857144
27.700000000000003,119,29.889396055623102,0.0001
30.9,327,24.403693054326137,0.003130612244897959
34.300000000000004,545,30.85809218835076,0.0001
37.2,744,22.70679982912816,0.0001
39.3,909,24.055801012351147,0.0001
40.7,1021,25.9764268895602,0.0001
41.7,1071,22.905249779245743,0.0001
42.3,1056,29.092959378753996,0.001312244897959184
42.400000000000006,979,27.83592354266541,0.0001
42.1,841,22.62528277109653,0.0001
41.3,659,24.65156535004514,0.0001
39.900000000000006,448,24.217530678867362,0.005353061224489797
37.1,229,27.609007418266366,0.004544897959183674
25.700000000000003,122,27.989819444089527,0.0001
29.200000000000003,331,23.64534818176737,0.0025244897959183677
32.7,550,23.834517245504387,0.002928571428571429
35.1,749,26.82503501587033,0.0001
36.9,913,25.242279864665914,0.0017163265306122451
38.3,1023,24.844721328966102,0.002120408163265306
39.3,1072,23.731991574837345,0.0001
40.0,1058,21.905915374684472,0.0001
40.400000000000006,983,21.207106154740714,0.0001
40.5,849,27.898787709148603,0.0001
40.0,666,26.673536094803204,0.0001
39.0,454,26.315374434467667,0.004746938775510205
36.3,235,23.99257862271639,0.005151020408163266
